path	lines	comment_lines	ratio	history_hits	bytes	gzip_bytes
server/test_runway_config.py	154	34	0.2208	6	7189	2166
server/wake.py	442	315	0.7127	36	22136	8000
stub-server/.gitignore	10	3	0.3000	0	243	187
stub-server/byos_server.py	915	487	0.5322	49	44978	14205
stub-server/devices_cli.py	132	30	0.2273	0	5052	1856
stub-server/make_test_panel.py	120	50	0.4167	0	4386	1909
stub-server/test_devices_registry.py	459	55	0.1198	0	18247	4537
stub-server/test_poll_cycle.py	1279	329	0.2572	20	65948	15540
test-support/companion_app_server.py	320	85	0.2656	2	12076	4224
test-support/companion_markup.py	594	118	0.1987	1	19781	5885
test-support/sitecustomize.py	26	10	0.3846	0	1110	583
test-support/skypane_test_support.py	391	93	0.2379	0	14331	4864
test-support/test_check_comment_history.py	534	32	0.0599	0	20285	4519
test-support/test_companion_markup.py	190	8	0.0421	2	6186	1968
test-support/test_test_support.py	284	17	0.0599	0	9208	2617
